INFO:root:Find max matching for different graphs.
INFO:root:
INFO:root:        dwt_72.mtx: iter     0, Optimal    32, Current    29
INFO:root:        dwt_72.mtx: Optimal    32, Current Best    31
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:      bcspwr10.mtx: iter     0, Optimal  2576, Current  2124
INFO:root:      bcspwr10.mtx: iter   100, Optimal  2576, Current  2187
INFO:root:      bcspwr10.mtx: iter   200, Optimal  2576, Current  2244
INFO:root:      bcspwr10.mtx: iter   300, Optimal  2576, Current  2296
INFO:root:      bcspwr10.mtx: iter   400, Optimal  2576, Current  2328
INFO:root:      bcspwr10.mtx: iter   500, Optimal  2576, Current  2361
INFO:root:      bcspwr10.mtx: iter   600, Optimal  2576, Current  2375
INFO:root:      bcspwr10.mtx: iter   700, Optimal  2576, Current  2389
INFO:root:      bcspwr10.mtx: iter   800, Optimal  2576, Current  2406
INFO:root:      bcspwr10.mtx: iter   900, Optimal  2576, Current  2413
INFO:root:      bcspwr10.mtx: iter  1000, Optimal  2576, Current  2416
INFO:root:      bcspwr10.mtx: iter  1100, Optimal  2576, Current  2426
INFO:root:      bcspwr10.mtx: iter  1200, Optimal  2576, Current  2439
INFO:root:      bcspwr10.mtx: iter  1300, Optimal  2576, Current  2442
INFO:root:      bcspwr10.mtx: iter  1400, Optimal  2576, Current  2453
INFO:root:      bcspwr10.mtx: iter  1500, Optimal  2576, Current  2460
INFO:root:      bcspwr10.mtx: iter  1600, Optimal  2576, Current  2466
INFO:root:      bcspwr10.mtx: iter  1700, Optimal  2576, Current  2472
INFO:root:      bcspwr10.mtx: iter  1800, Optimal  2576, Current  2472
INFO:root:      bcspwr10.mtx: iter  1900, Optimal  2576, Current  2476
INFO:root:      bcspwr10.mtx: iter  2000, Optimal  2576, Current  2478
INFO:root:      bcspwr10.mtx: iter  2100, Optimal  2576, Current  2481
INFO:root:      bcspwr10.mtx: iter  2200, Optimal  2576, Current  2484
INFO:root:      bcspwr10.mtx: iter  2300, Optimal  2576, Current  2485
INFO:root:      bcspwr10.mtx: iter  2400, Optimal  2576, Current  2487
INFO:root:      bcspwr10.mtx: iter  2500, Optimal  2576, Current  2490
INFO:root:      bcspwr10.mtx: iter  2600, Optimal  2576, Current  2490
INFO:root:      bcspwr10.mtx: iter  2700, Optimal  2576, Current  2490
INFO:root:      bcspwr10.mtx: iter  2800, Optimal  2576, Current  2490
INFO:root:      bcspwr10.mtx: iter  2900, Optimal  2576, Current  2493
INFO:root:      bcspwr10.mtx: iter  3000, Optimal  2576, Current  2495
INFO:root:      bcspwr10.mtx: iter  3100, Optimal  2576, Current  2495
INFO:root:      bcspwr10.mtx: iter  3200, Optimal  2576, Current  2497
INFO:root:      bcspwr10.mtx: iter  3300, Optimal  2576, Current  2498
INFO:root:      bcspwr10.mtx: iter  3400, Optimal  2576, Current  2499
INFO:root:      bcspwr10.mtx: iter  3500, Optimal  2576, Current  2499
INFO:root:      bcspwr10.mtx: iter  3600, Optimal  2576, Current  2500
INFO:root:      bcspwr10.mtx: iter  3700, Optimal  2576, Current  2500
INFO:root:      bcspwr10.mtx: iter  3800, Optimal  2576, Current  2500
INFO:root:      bcspwr10.mtx: iter  3900, Optimal  2576, Current  2500
INFO:root:      bcspwr10.mtx: iter  4000, Optimal  2576, Current  2500
INFO:root:      bcspwr10.mtx: iter  4100, Optimal  2576, Current  2500
INFO:root:      bcspwr10.mtx: iter  4200, Optimal  2576, Current  2500
INFO:root:      bcspwr10.mtx: iter  4300, Optimal  2576, Current  2501
INFO:root:      bcspwr10.mtx: iter  4400, Optimal  2576, Current  2502
INFO:root:      bcspwr10.mtx: iter  4500, Optimal  2576, Current  2504
INFO:root:      bcspwr10.mtx: iter  4600, Optimal  2576, Current  2506
INFO:root:      bcspwr10.mtx: iter  4700, Optimal  2576, Current  2506
INFO:root:      bcspwr10.mtx: iter  4800, Optimal  2576, Current  2506
INFO:root:      bcspwr10.mtx: iter  4900, Optimal  2576, Current  2506
INFO:root:      bcspwr10.mtx: iter  5000, Optimal  2576, Current  2508
INFO:root:      bcspwr10.mtx: iter  5100, Optimal  2576, Current  2508
INFO:root:      bcspwr10.mtx: iter  5200, Optimal  2576, Current  2509
INFO:root:      bcspwr10.mtx: iter  5300, Optimal  2576, Current  2509
INFO:root:      bcspwr10.mtx: iter  5400, Optimal  2576, Current  2509
INFO:root:      bcspwr10.mtx: iter  5500, Optimal  2576, Current  2509
INFO:root:      bcspwr10.mtx: iter  5600, Optimal  2576, Current  2509
INFO:root:      bcspwr10.mtx: iter  5700, Optimal  2576, Current  2510
INFO:root:      bcspwr10.mtx: iter  5800, Optimal  2576, Current  2511
INFO:root:      bcspwr10.mtx: iter  5900, Optimal  2576, Current  2511
INFO:root:      bcspwr10.mtx: iter  6000, Optimal  2576, Current  2511
INFO:root:      bcspwr10.mtx: iter  6100, Optimal  2576, Current  2511
INFO:root:      bcspwr10.mtx: iter  6200, Optimal  2576, Current  2511
INFO:root:      bcspwr10.mtx: iter  6300, Optimal  2576, Current  2511
INFO:root:      bcspwr10.mtx: iter  6400, Optimal  2576, Current  2512
INFO:root:      bcspwr10.mtx: iter  6500, Optimal  2576, Current  2512
INFO:root:      bcspwr10.mtx: iter  6600, Optimal  2576, Current  2513
INFO:root:      bcspwr10.mtx: iter  6700, Optimal  2576, Current  2513
INFO:root:      bcspwr10.mtx: iter  6800, Optimal  2576, Current  2513
INFO:root:      bcspwr10.mtx: iter  6900, Optimal  2576, Current  2515
INFO:root:      bcspwr10.mtx: iter  7000, Optimal  2576, Current  2515
INFO:root:      bcspwr10.mtx: iter  7100, Optimal  2576, Current  2516
INFO:root:      bcspwr10.mtx: iter  7200, Optimal  2576, Current  2516
